Common name,Binomial name,Order,Date of extinction,Former range,Picture
Puerto Rican hutia,"Isolobodon portoricensis Allen, 1916",Rodentia,early 1900s 1,"Hispaniola; introduced to Puerto Rico, Saint Thomas Island, Saint Croix, U.S. Virgin Islands and Mona Island",
Big-eared hopping mouse,"Notomys macrotis Thomas, 1921",Rodentia,1843 1,Australia (central Western Australia),
Darling Downs hopping mouse,"Notomys mordax Thomas, 1921",Rodentia,1846 1,"Australia (Darling Downs, Queensland)",
White-footed rabbit-rat,"Conilurus albipes Lichtenstein, 1829",Rodentia,early 1860s 1,Australia (eastern coast),
Capricorn rabbit rat,"Conilurus capricornensis Cramb and Hocknull, 2010",Rodentia,early 1500s 1,Australia (Queensland),
Short-tailed hopping mouse,"Notomys amplusBrazenor, 1936",Rodentia,1896 1,Australia (Great Sandy Desert),
Long-tailed hopping mouse,"Notomys longicaudatusGould, 1844",Rodentia,1901 1,Australia,
Great hopping mouse,"Notomys robustusMahoney, Smith and Medlin, 2008",Rodentia,mid-1800s 1,Australia (Flinders and Davenport Ranges),
"Desmarest's pilorie,or Martinique giant rice rat","Megalomys desmarestiiFischer, 1829",Rodentia,1902 1,Martinique,
"Saint Lucia pilorie, or Saint Lucia giant rice rat","Megalomys luciaeMajor, 1901",Rodentia,1881 1,Saint Lucia,
Bulldog rat,"Rattus nativitatisThomas, 1888",Rodentia,1903 1,Christmas Island,
Maclear's rat,"Rattus macleariThomas, 1887",Rodentia,1903 1,Christmas Island,
Darwin's Galápagos mouse,"Nesoryzomys darwiniOsgood, 1929",Rodentia,1930 1,Galápagos Islands,
Gould's mouse,"Pseudomys gouldiiWaterhouse, 1839",Rodentia,1930 1,Australia (southern half),
"Plains rat,or Palyoora","Pseudomys auritusThomas, 1910",Rodentia,early 1800s 1,Australia (Kangaroo Island and the Younghusband Peninsula),
Pemberton's deer mouse,"Peromyscus pembertoniBurt, 1932",Rodentia,1931 1,"San Pedro Nolasco Island, Mexico",
Samaná hutia,"Plagiodontia ipnaeumJohnson, 1948",Rodentia,early 1500s [a] 1,Hispaniola,
Hispaniola monkey,"Antillothrix bernensis MacPhee, Horovitz, Arredondo, & Jimenez Vasquez, 1995",Primates,early 16th century,Hispaniola (currently Dominican Republic),
"Lesser stick-nest rat,or white-tipped stick-nest rat","Leporillus apicalisJohn Gould, 1854",Rodentia,1933 1,Australia (west-central),
Indefatigable Galápagos mouse,"Nesoryzomys indefessusThomas, 1899",Rodentia,1934 1,Galápagos Islands,
Little Swan Island hutia,"Geocapromys thoracatusTrue, 1888",Rodentia,1955 1,"Swan Islands, Honduras",
Blue-gray mouse,"Pseudomys glaucusThomas, 1910",Rodentia,1956 1,"Australia (Queensland, New South Wales)",
Buhler's coryphomysor Buhler's rat,"Coryphomys buehleriSchaub, 1937",Rodentia,early 1500s 1,"West Timor, Indonesia",
Insular cave rat,"Heteropsomys insulansAnthony, 1916",Rodentia,early 1500s 1,"Vieques Island, Puerto Rico",
Candango mouse,"Juscelinomys candangoMoojen, 1965",Rodentia,1960 1,Central Brazil,
Anthony's woodrat,"Neotoma anthonyiAllen, 1898",Rodentia,1926 1,"Isla Todos Santos, Mexico",
Bunker's woodrat,"Neotoma bunkeriBurt, 1932",Rodentia,1931 1,"Coronado Islands, Mexico",
Vespucci's rodent,"Noronhomys vespucciiCarleton and Olson, 1999",Rodentia,1500 1,"Fernando de Noronha, Brazil",
"St. Vincent colilargo,or St. Vincent pygmy rice rat","Oligoryzomys victusThomas, 1898",Rodentia,1892 1,Saint Vincent,
Jamaican rice rat,"Oryzomys antillarumThomas, 1898",Rodentia,1877 1,Jamaica,
Nelson's rice rat,"Oryzomys nelsoniMerriam, 1889",Rodentia,1897 1,"Islas Marías, Mexico",
"Nevis rice rat,or St. Eustatius rice rat, St. Kitts rice rat","Pennatomys nivalisTurvey, Weksler, Morris, and Nokkert, 2010",Rodentia,early 1500s [b] 1,Sint Eustatius and Saint Kitts and Nevis,
Christmas Island pipistrelle,"Pipistrellus murrayiAndrews, 1900",Chiroptera,2009 1,Christmas Island,
Sardinian pika,"Prolagus sardus Wagner, 1832",Lagomorpha,1774 1,Corsica and Sardinia,
Marcano's solenodon,"Solenodon marcanoi Patterson, 1962",Eulipotyphla,1500s 1,Dominican Republic,
Puerto Rican nesophontes,"Nesophontes edithae Anthony, 1916",Eulipotyphla,early 1500s 1,"Puerto Rico, Vieques Island, Saint John, U.S. Virgin Islands, and Saint Thomas, U.S. Virgin Islands",
Atalaye nesophontes,"Nesophontes hypomicrus Miller, 1929",Eulipotyphla,early 1500s 1,Hispaniola,
Greater Cuban nesophontes,"Nesophontes major Arredondo, 1970",Eulipotyphla,early 1500s 1,Cuba,
Western Cuban nesophontes,"Nesophontes micrus Allen, 1917",Eulipotyphla,early 1500s 1,Cuba (including Isla de la Juventud),
St. Michel nesophontes,"Nesophontes paramicrus Miller, 1929",Eulipotyphla,early 1500s 1,Hispaniola,
Haitian nesophontes,"Nesophontes zamicrus Miller, 1929",Eulipotyphla,early 1500s 1,Haiti,
"Lesser Mascarene flying fox,or dark flying fox","Pteropus subniger kerr, 1792",Chiroptera,1864 1,"Réunion, Mauritius",
"Guam flying fox,or Guam fruit bat","Pteropus tokudae Tate, 1934",Chiroptera,1968 1,Guam,
"Dusky flying fox,or Percy Island flying fox","Pteropus brunneus Dobson, 1878",Chiroptera,1870 1,Percy Islands (Australia),
Large Palau flying fox,"Pteropus pilosus Andersen, 1908",Chiroptera,1874 1,Palau,
Large sloth lemur,"Palaeopropithecus ingens Grandidier, 1899",Primate,1620 1,In green,
Aurochs,"Bos primigenius Bojanus, 1827",Artiodactyla,1627 1,,
Bluebuck,"Hippotragus leucophaeus Pallas, 1766",Artiodactyla,1800 1,,
Red gazelle,"Eudorcas rufina Thomas, 1894",Artiodactyla,late 1800s 1,Algeria,
Schomburgk's deer,"Rucervus schomburgki Blyth, 1863",Artiodactyla,1932 1,Thailand,
"Queen of Sheba's gazelle,or Yemen gazelle","Gazella bilkis Grover and Lay, 1985",Artiodactyla,1951 1,Yemen,
Madagascan dwarf hippopotamus,"Hippopotamus lemerlei Milne-Edwards, 1868",Artiodactyla,early 1500s [c] 1,Madagascar,
Falkland Islands wolf or warrah,"Dusicyon australis Kerr, 1792",Carnivora,1876 1,Falkland Islands,
Burmeister's fox,"Dusicyon avus Burmeister, 1866",Carnivora,early 1500s 1,"Argentina, Chile, Brazil, Uruguay, Paraguay",
Sea mink,"Neogale macrodon Prentiss, 1903",Carnivora,1894 1,"United States (Maine, Massachusetts) and Canada (New Brunswick, Newfoundland)",
Japanese sea lion,"Zalophus japonicus Peters, 1866",Carnivora,1970s 1,"Japan, Korea, Russia",
Caribbean monk seal,"Neomonachus tropicalis Gray, 1850",Carnivora,1952 1,Caribbean Sea,
Giant fossa,"Cryptoprocta spelea Grandidier, 1902",Carnivora,before 1658 1,,
